Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season
Jeff Cassar,DAL,GK,2,1,104,9,6,3,3,0/0,0,1,0,0,0,66.7,1996,reg
Jeff Cassar,DAL,GK,2,1,104,9,6,3,3,0/0,0,1,0,0,0,66.7,1996,reg
Zach Thornton,MET,GK,3,3,270,17,8,9,3,1-Jan,1,2,0,0,33.3,47.1,1996,reg
Zach Thornton,MET,GK,3,3,270,17,8,9,3,1-Jan,1,2,0,0,33.3,47.1,1996,reg
Mike Ammann,KC ,GK,4,3,291,21,12,8,2.67,0/1,1,2,0,0,25,57.1,1996,reg
Mike Ammann,KC ,GK,4,3,291,21,12,8,2.67,0/1,1,2,0,0,25,57.1,1996,reg
Scott Budnick,TB ,GK,4,4,360,23,18,4,1,0/0,3,1,0,1,75,78.3,1996,reg
Scott Budnick,TB ,GK,4,4,360,23,18,4,1,0/0,3,1,0,1,75,78.3,1996,reg
David Winner,CLB,GK,7,6,606,39,22,16,2.67,2-Feb,3,4,0,0,42.9,56.4,1996,reg
David Winner,CLB,GK,7,6,606,39,22,16,2.67,2-Feb,3,4,0,0,42.9,56.4,1996,reg
Dusty Hudock,COL,GK,9,9,810,55,34,16,1.78,2-Feb,3,6,0,2,33.3,61.8,1996,reg
Brad Friedel,CLB,GK,9,9,810,60,46,7,0.78,0/0,8,1,0,4,88.9,76.7,1996,reg
Dusty Hudock,COL,GK,9,9,810,55,34,16,1.78,2-Feb,3,6,0,2,33.3,61.8,1996,reg
Brad Friedel,CLB,GK,9,9,810,60,46,7,0.78,0/0,8,1,0,4,88.9,76.7,1996,reg
David Kramer,LA ,GK,15,8,855,83,52,22,2.75,4-Apr,6,5,0,1,40,62.7,1996,reg
David Kramer,LA ,GK,15,8,855,83,52,22,2.75,4-Apr,6,5,0,1,40,62.7,1996,reg
Pat Harrington,CLB,GK,12,11,924,57,23,21,1.91,0/0,5,5,0,1,41.7,40.4,1996,reg
Pat Harrington,CLB,GK,12,11,924,57,23,21,1.91,0/0,5,5,0,1,41.7,40.4,1996,reg
Dave Salzwedel,SJ ,GK,14,12,1168,80,53,17,1.42,2-Feb,8,5,0,4,57.1,66.3,1996,reg
Dave Salzwedel,SJ ,GK,14,12,1168,80,53,17,1.42,2-Feb,8,5,0,4,57.1,66.3,1996,reg
Bo Oshoniyi,CLB,GK,13,13,1170,101,64,33,2.54,3-Feb,3,10,0,2,23.1,63.4,1996,reg
Bo Oshoniyi,CLB,GK,13,13,1170,101,64,33,2.54,3-Feb,3,10,0,2,23.1,63.4,1996,reg
Mark Simpson,DC ,GK,15,14,1260,69,46,21,1.5,0/0,7,6,0,3,46.7,66.7,1996,reg
Mark Simpson,DC ,GK,15,14,1260,69,46,21,1.5,0/0,7,6,0,3,46.7,66.7,1996,reg
Jim St. Andre,NE ,GK,15,14,1346,91,57,27,1.93,0/0,7,8,0,2,46.7,62.6,1996,reg
Jim St. Andre,NE ,GK,15,14,1346,91,57,27,1.93,0/0,7,8,0,2,46.7,62.6,1996,reg
Aidan Heaney,NE ,GK,19,18,1534,130,93,29,1.61,2-Feb,8,9,0,4,42.1,71.5,1996,reg
Aidan Heaney,NE ,GK,19,18,1534,130,93,29,1.61,2-Feb,8,9,0,4,42.1,71.5,1996,reg
Jeff Causey,DC ,GK,19,18,1620,115,70,35,1.94,8-Jul,9,10,0,0,47.4,60.9,1996,reg
Jeff Causey,DC ,GK,19,18,1620,115,70,35,1.94,8-Jul,9,10,0,0,47.4,60.9,1996,reg
Tom Liner,SJ ,GK,20,20,1712,118,75,33,1.65,2-Jan,7,12,0,4,35,63.6,1996,reg
Tom Liner,SJ ,GK,20,20,1712,118,75,33,1.65,2-Jan,7,12,0,4,35,63.6,1996,reg
Garth Lagerwey,KC ,GK,23,22,1959,133,83,38,1.73,2-Feb,12,10,0,3,52.2,62.4,1996,reg
Garth Lagerwey,KC ,GK,23,22,1959,133,83,38,1.73,2-Feb,12,10,0,3,52.2,62.4,1996,reg
Chris Woods,COL,GK,23,23,2070,149,96,43,1.87,2-Feb,8,15,0,2,34.8,64.4,1996,reg
Chris Woods,COL,GK,23,23,2070,149,96,43,1.87,2-Feb,8,15,0,2,34.8,64.4,1996,reg
Jorge Campos,LA ,GK,24,24,2160,133,100,27,1.13,0/1,13,8,0,4,54.2,75.2,1996,reg
Jorge Campos,LA ,GK,24,24,2160,133,100,27,1.13,0/1,13,8,0,4,54.2,75.2,1996,reg
Mark Dougherty,TB ,GK,28,28,2520,186,123,47,1.68,10-Sep,17,11,0,3,60.7,66.1,1996,reg
Mark Dougherty,TB ,GK,28,28,2520,186,123,47,1.68,10-Sep,17,11,0,3,60.7,66.1,1996,reg
Tony Meola,MET,GK,29,29,2610,188,142,38,1.31,4-Mar,14,15,0,9,48.3,75.5,1996,reg
Tony Meola,MET,GK,29,29,2610,188,142,38,1.31,4-Mar,14,15,0,9,48.3,75.5,1996,reg
Mark Dodd,DAL,GK,31,31,2776,235,160,45,1.45,5-May,17,14,0,6,54.8,68.1,1996,reg
Mark Dodd,DAL,GK,31,31,2776,235,160,45,1.45,5-May,17,14,0,6,54.8,68.1,1996,reg
Garth Lagerwey,DAL,GK,2,2,180,14,13,1,0.5,0/0,2,0,0,1,100,92.9,1997,reg
Tom Liner,SJ ,GK,2,2,180,19,14,4,2,1-Jan,0,2,0,0,0,73.7,1997,reg
Zach Thornton,MET,GK,3,2,197,18,12,5,2.5,2-Feb,1,1,0,0,33.3,66.7,1997,reg
David Winner,CLB,GK,4,3,271,19,11,6,2,0/0,1,2,0,0,25,57.9,1997,reg
Chris Snitko,KC ,GK,5,3,282,20,11,6,2,0/0,0,3,0,0,0,55,1997,reg
Scott Coufal,NE ,GK,4,4,360,29,17,9,2.25,0/0,0,4,0,1,0,58.6,1997,reg
Kevin Hartman,LA ,GK,8,4,483,21,12,8,2,2-Jan,2,4,0,3,25,57.1,1997,reg
Tom Presthus,DC ,GK,7,7,629,49,31,13,1.86,0/1,4,2,0,0,57.1,63.3,1997,reg
Mark Simpson,DC ,GK,7,7,629,35,27,7,1,3-Mar,4,2,0,3,57.1,77.1,1997,reg
Paul Grafer,COL,GK,9,8,723,63,40,22,2.75,1-Jan,1,8,0,1,11.1,63.5,1997,reg
Scott Budnick,TB ,GK,9,8,737,52,35,15,1.88,0/0,2,6,0,1,22.2,67.3,1997,reg
Jeff Causey,DC ,GK,12,11,991,86,56,27,2.45,0/1,4,8,0,1,33.3,65.1,1997,reg
Scott Garlick,DC ,GK,14,13,1171,82,57,22,1.69,0/0,9,5,0,2,64.3,69.5,1997,reg
Dave Salzwedel,SJ ,GK,20,18,1679,118,72,35,1.94,3-Jan,7,11,0,2,35,61,1997,reg
Jorge Campos,LA ,GK,19,19,1687,88,62,23,1.21,2-Feb,12,5,0,4,63.2,70.5,1997,reg
David Kramer,LA ,GK,21,21,1831,123,84,33,1.57,4-Mar,7,14,0,3,33.3,68.3,1997,reg
Walter Zenga,NE ,GK,22,22,1980,113,81,28,1.27,1-Jan,15,7,0,6,68.2,71.7,1997,reg
Mark Dougherty,TB ,GK,26,24,2157,165,111,45,1.88,4-Jan,15,9,0,3,57.7,67.3,1997,reg
Marcus Hahnemann,COL,GK,25,24,2157,154,111,37,1.54,5-Apr,13,10,0,5,52,72.1,1997,reg
Mike Ammann,KC ,GK,29,29,2597,160,109,45,1.55,4-Mar,21,8,0,5,72.4,68.1,1997,reg
Brad Friedel,CLB,GK,29,29,2609,174,131,35,1.21,5-Apr,14,15,0,7,48.3,75.3,1997,reg
Tony Meola,MET,GK,30,30,2700,204,149,48,1.6,6-Apr,12,18,0,5,40,73,1997,reg
Mark Dodd,DAL,GK,30,30,2700,249,183,48,1.6,9-Jun,14,16,0,3,46.7,73.5,1997,reg
Matt Jordan,DAL,GK,1,1,45,4,1,3,3,0/0,0,1,0,0,0,25,1998,reg
Bill Andracki,MET,GK,1,1,90,6,5,1,1,0/0,0,1,0,0,0,83.3,1998,reg
Tim Howard,MET,GK,1,1,90,8,5,1,1,0/0,1,0,0,0,100,62.5,1998,reg
Scott Coufal,CHI,GK,1,1,90,5,2,3,3,0/0,0,1,0,0,0,40,1998,reg
Mark Simpson,DC ,GK,2,2,180,8,3,5,2.5,0/0,0,2,0,0,0,37.5,1998,reg
Scott Budnick,MIA,GK,3,3,270,24,16,8,2.67,0/0,0,3,0,0,0,66.7,1998,reg
David Winner,CHI,GK,4,3,271,23,16,6,2,0/0,2,2,0,0,50,69.6,1998,reg
Matt Reis,LA ,GK,5,4,336,24,18,5,1.25,0/0,2,1,0,0,40,75,1998,reg
Paul Grafer,COL,GK,4,4,360,39,20,17,4.25,0/0,0,4,0,0,0,51.3,1998,reg
Matt Napoleon,MIA,GK,4,4,360,45,32,12,3,0/1,1,3,0,0,25,71.1,1998,reg
Chris Snitko,KC ,GK,5,5,450,27,18,8,1.6,0/0,1,4,0,1,20,66.7,1998,reg
Tom Presthus,DC ,GK,6,5,495,28,19,8,1.6,1-Jan,5,1,0,0,83.3,67.9,1998,reg
Jeff Causey,NE ,GK,9,6,544,35,24,11,1.83,0/0,3,6,0,0,33.3,68.6,1998,reg
Garth Lagerwey,DAL,GK,8,7,630,44,28,14,2,1-Jan,4,3,0,0,50,63.6,1998,reg
Andy Kirk,SJ ,GK,9,8,755,56,34,21,2.63,1-Jan,3,5,0,2,33.3,60.7,1998,reg
Jorge Campos,CHI,GK,9,8,765,48,33,15,1.88,1-Jan,4,3,0,0,44.4,68.8,1998,reg
Doug Petras,TB ,GK,12,9,827,70,49,19,2.11,1-Jan,5,7,0,1,41.7,70,1998,reg
Mark Dougherty,CLB,GK,11,11,989,77,49,21,1.91,4-Feb,4,6,0,1,36.4,63.6,1998,reg
Juergen Sommer,CLB,GK,21,21,1890,143,106,35,1.67,2-Jan,11,10,0,4,52.4,74.1,1998,reg
